property_id,county,city,zip_code,property_type,bedrooms,bathrooms,sqft,lot_size,year_built,sale_date,rate_week_ending,mortgage_rate_30yr_fixed_pct,sale_price,price_per_sqft,hoa_fee,latitude,longitude,parking_spaces,pool,fireplace,stories,sale_year,sale_month,sale_quarter,property_age,is_new_construction,bath_bed_ratio,sqft_per_bedroom,amenity_score,has_hoa,is_single_family,avg_zip_code_sale_price,avg_city_sale_price,n_parks,kid_friendly_score,Attractions,Restaurants,Things_to_do_score,resturant_score,walk_score,transit_score,bike_score,coolness_index
AL0031786,Alameda,Oakland,94601,Single Family,3,3.5,1697,6818,1946,2025-09-21,2025-09-18,6.26,1518461,894,0,37.71407,-122.405203,3,0,1,2,2025,9,3,78,0,0.875,424.25,4,0,1,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031787,Alameda,Oakland,94601,Single Family,3,3.5,2698,7986,1975,2022-11-05,2022-11-03,6.95,1980480,734,0,37.922922,-122.269042,1,0,0,1,2022,11,4,49,0,0.875,674.5,1,0,1,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031788,Alameda,Oakland,94601,Single Family,4,1.5,2893,5428,1990,2024-01-22,2024-01-18,6.6,2277769,787,0,37.934584,-122.31437,3,0,0,1,2024,1,1,34,0,0.3,578.6,3,0,1,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031789,Alameda,Oakland,94601,Single Family,4,2.0,2745,3374,1973,2026-01-14,2026-01-08,6.16,2460690,896,0,37.782041,-122.416225,2,0,0,2,2026,1,1,51,0,0.4,549.0,2,0,1,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031790,Alameda,Oakland,94601,Condo,2,1.5,1459,0,1994,2023-10-17,2023-10-12,7.57,892209,611,347,37.926726,-122.416207,2,0,0,1,2023,10,4,30,0,0.5,486.3333333333333,2,1,0,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031791,Alameda,Oakland,94601,Single Family,2,1.5,3410,5804,1994,2023-08-22,2023-08-17,7.09,3252623,953,0,37.731015,-122.273085,3,0,0,2,2023,8,3,30,0,0.5,1136.6666666666667,3,0,1,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031792,Alameda,Oakland,94601,Single Family,3,3.0,1853,6911,1971,2022-12-15,2022-12-15,6.31,1450899,783,0,37.695815,-122.337096,2,0,0,2,2022,12,4,53,0,0.75,463.25,2,0,1,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031793,Alameda,Oakland,94601,Condo,2,2.0,2060,0,1976,2025-01-23,2025-01-23,6.96,982758,477,530,37.754567,-122.409185,2,0,0,1,2025,1,1,48,0,0.6666666666666666,686.6666666666666,2,1,0,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031794,Alameda,Oakland,94601,Townhouse,3,2.0,1406,805,1991,2021-08-26,2021-08-26,2.87,691242,491,293,37.714144,-122.19018,2,0,0,1,2021,8,3,33,0,0.5,351.5,2,1,0,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031795,Alameda,Oakland,94601,Single Family,4,2.0,2100,3844,1973,2023-11-20,2023-11-16,7.44,1562597,744,0,37.851443,-122.419748,2,0,0,2,2023,11,4,51,0,0.4,420.0,2,0,1,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031796,Alameda,Oakland,94601,Single Family,4,2.0,1269,6935,1976,2023-09-14,2023-09-14,7.18,868732,684,0,37.699823,-122.293174,2,1,0,2,2023,9,3,48,0,0.4,253.8,3,0,1,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031797,Alameda,Oakland,94601,Single Family,4,2.5,1976,8955,1998,2023-01-10,2023-01-05,6.48,1684997,852,167,37.751969,-122.263576,3,0,0,2,2023,1,1,26,0,0.5,395.2,3,1,1,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031798,Alameda,Oakland,94601,Condo,2,2.0,1926,0,1945,2025-02-16,2025-02-13,6.87,1353652,702,323,37.949882,-122.362132,2,0,0,1,2025,2,1,79,0,0.6666666666666666,642.0,2,1,0,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031799,Alameda,Oakland,94601,Single Family,5,2.0,1742,5224,1944,2024-02-17,2024-02-15,6.77,1127617,647,0,37.804221,-122.347946,3,1,0,1,2024,2,1,80,0,0.3333333333333333,290.3333333333333,4,0,1,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031800,Alameda,Oakland,94601,Single Family,3,2.5,3330,9209,1944,2023-09-30,2023-09-28,7.31,2325143,698,0,37.915327,-122.155439,1,0,0,3,2023,9,3,80,0,0.625,832.5,1,0,1,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031801,Alameda,Oakland,94601,Single Family,4,3.0,1667,4869,1957,2025-07-20,2025-07-17,6.75,1464462,878,0,37.852002,-122.159176,2,0,0,2,2025,7,3,67,0,0.6,333.4,2,0,1,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031802,Alameda,Oakland,94601,Single Family,3,2.5,3111,8924,1955,2023-01-02,2022-12-29,6.42,2677316,860,0,37.746404,-122.256752,3,0,0,1,2023,1,1,69,0,0.625,777.75,3,0,1,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031803,Alameda,Oakland,94601,Single Family,2,2.5,2091,6199,2014,2025-03-30,2025-03-27,6.65,1497030,715,120,37.674065,-122.192221,4,0,0,2,2025,3,1,10,0,0.8333333333333334,697.0,4,1,1,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031804,Alameda,Oakland,94601,Single Family,4,2.0,2973,9872,1991,2024-04-13,2024-04-11,6.88,2356628,792,0,37.793272,-122.176903,2,0,0,2,2024,4,2,33,0,0.4,594.6,2,0,1,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031805,Alameda,Oakland,94601,Condo,2,1.5,1923,0,1976,2024-10-02,2024-09-26,6.08,850117,442,344,37.893238,-122.143511,2,0,1,1,2024,10,4,48,0,0.5,641.0,3,1,0,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031806,Alameda,Oakland,94601,Condo,3,1.5,836,0,1985,2026-02-04,2026-01-29,6.1,409037,489,660,37.76761,-122.126581,2,0,0,1,2026,2,1,39,0,0.375,209.0,2,1,0,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031807,Alameda,Oakland,94601,Condo,2,2.0,918,0,1974,2021-05-26,2021-05-20,3.0,398574,434,376,37.85545,-122.34199,1,0,0,1,2021,5,2,50,0,0.6666666666666666,306.0,1,1,0,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031808,Alameda,Oakland,94601,Townhouse,3,2.0,1810,2384,1971,2021-07-18,2021-07-15,2.88,801874,443,531,37.719855,-122.182364,2,0,0,1,2021,7,3,53,0,0.5,452.5,2,1,0,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031809,Alameda,Oakland,94601,Single Family,3,2.5,1884,3600,1965,2024-05-08,2024-05-02,7.22,1520559,807,0,37.735172,-122.161674,2,1,0,2,2024,5,2,59,0,0.625,471.0,3,0,1,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031810,Alameda,Oakland,94601,Townhouse,3,2.0,1875,1908,1964,2025-09-17,2025-09-11,6.35,1557372,830,564,37.713095,-122.356664,2,0,1,1,2025,9,3,60,0,0.5,468.75,3,1,0,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031811,Alameda,Oakland,94601,Condo,3,2.0,2130,0,1995,2023-02-24,2023-02-23,6.5,1042252,489,547,37.798481,-122.133651,1,0,1,1,2023,2,1,29,0,0.5,532.5,2,1,0,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031812,Alameda,Oakland,94601,Condo,1,2.0,2107,0,1976,2021-10-13,2021-10-07,2.99,1050370,498,408,37.857729,-122.30239,2,0,0,1,2021,10,4,48,0,1.0,1053.5,2,1,0,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031813,Alameda,Oakland,94601,Condo,2,1.0,780,0,2005,2023-06-02,2023-06-01,6.79,308579,395,381,37.902149,-122.253116,3,0,0,1,2023,6,2,19,0,0.3333333333333333,260.0,3,1,0,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031814,Alameda,Oakland,94601,Condo,3,2.0,1653,0,1962,2022-11-30,2022-11-23,6.58,788905,477,788,37.881778,-122.40361,1,0,1,1,2022,11,4,62,0,0.5,413.25,2,1,0,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031815,Alameda,Oakland,94601,Townhouse,2,2.0,1358,2259,1959,2025-09-16,2025-09-11,6.35,762328,561,446,37.835007,-122.288357,2,0,0,1,2025,9,3,65,0,0.6666666666666666,452.6666666666667,2,1,0,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031816,Alameda,Oakland,94601,Single Family,5,2.0,2075,9779,1988,2021-05-12,2021-05-06,2.96,1114596,537,0,37.821145,-122.291199,2,0,1,1,2021,5,2,36,0,0.3333333333333333,345.8333333333333,3,0,1,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031817,Alameda,Oakland,94601,Condo,1,1.5,1887,0,1996,2026-02-03,2026-01-29,6.1,1371095,726,567,37.784952,-122.409301,1,0,0,1,2026,2,1,28,0,0.75,943.5,1,1,0,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031818,Alameda,Oakland,94601,Townhouse,3,2.5,1788,1597,2007,2022-12-24,2022-12-22,6.27,1077664,602,502,37.832834,-122.226018,2,0,0,1,2022,12,4,17,0,0.625,447.0,2,1,0,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031819,Alameda,Oakland,94601,Townhouse,2,2.5,1062,1489,1962,2023-08-08,2023-08-03,6.9,642213,604,560,37.811277,-122.164893,2,0,0,1,2023,8,3,62,0,0.8333333333333334,354.0,2,1,0,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031820,Alameda,Oakland,94601,Single Family,4,3.0,3461,6490,1999,2022-01-27,2022-01-27,3.55,2433557,703,0,37.671926,-122.342727,2,0,1,1,2022,1,1,25,0,0.6,692.2,3,0,1,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031821,Alameda,Oakland,94601,Single Family,4,2.0,1897,8826,1972,2023-08-29,2023-08-24,7.23,1620176,854,92,37.877702,-122.308404,3,0,0,2,2023,8,3,52,0,0.4,379.4,3,1,1,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031822,Alameda,Oakland,94601,Single Family,4,3.5,2402,9922,2001,2023-08-10,2023-08-10,6.96,1645491,685,0,37.921648,-122.34326,2,0,1,3,2023,8,3,23,0,0.7,480.4,3,0,1,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031823,Alameda,Oakland,94601,Condo,1,1.5,1345,0,1979,2023-11-06,2023-11-02,7.76,793472,589,300,37.920981,-122.246647,2,0,0,1,2023,11,4,45,0,0.75,672.5,2,1,0,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031824,Alameda,Oakland,94601,Condo,2,1.5,1636,0,1974,2022-09-02,2022-09-01,5.66,876503,535,279,37.915835,-122.399498,2,0,1,1,2022,9,3,50,0,0.5,545.3333333333334,3,1,0,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031825,Alameda,Oakland,94601,Single Family,4,3.0,1527,4302,1958,2022-05-15,2022-05-12,5.3,1073938,703,0,37.683393,-122.208764,2,0,2,2,2022,5,2,66,0,0.6,305.4,4,0,1,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031826,Alameda,Oakland,94601,Condo,1,2.0,2054,0,1972,2022-03-26,2022-03-24,4.42,964671,469,688,37.863948,-122.22852,2,0,0,1,2022,3,1,52,0,1.0,1027.0,2,1,0,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031827,Alameda,Oakland,94601,Single Family,4,2.5,2750,5784,1961,2021-04-13,2021-04-08,3.13,2083093,757,0,37.917394,-122.362514,3,0,0,2,2021,4,2,63,0,0.5,550.0,3,0,1,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031828,Alameda,Oakland,94601,Single Family,5,3.0,2919,3932,1972,2021-10-10,2021-10-07,2.99,1895813,649,0,37.921033,-122.267378,2,0,0,2,2021,10,4,52,0,0.5,486.5,2,0,1,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031829,Alameda,Oakland,94601,Townhouse,4,2.5,1479,1362,1979,2026-02-06,2026-02-05,6.11,971704,657,620,37.94605,-122.151528,2,0,0,1,2026,2,1,45,0,0.5,295.8,2,1,0,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031830,Alameda,Oakland,94601,Single Family,3,3.0,1426,8756,1990,2023-08-06,2023-08-03,6.9,1237663,867,0,37.86858,-122.376925,2,0,1,2,2023,8,3,34,0,0.75,356.5,3,0,1,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031831,Alameda,Oakland,94601,Single Family,3,3.0,1641,6136,1998,2025-09-07,2025-09-04,6.5,1289205,785,0,37.658412,-122.204172,3,0,0,2,2025,9,3,26,0,0.75,410.25,3,0,1,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031832,Alameda,Oakland,94601,Single Family,4,3.5,1764,7175,1958,2023-11-10,2023-11-09,7.5,1180340,669,0,37.805057,-122.188568,2,0,0,2,2023,11,4,66,0,0.7,352.8,2,0,1,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031833,Alameda,Oakland,94601,Condo,3,2.0,1294,0,2009,2023-12-24,2023-12-21,6.67,569579,440,779,37.748092,-122.230166,1,0,1,1,2023,12,4,15,0,0.5,323.5,2,1,0,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031834,Alameda,Oakland,94601,Single Family,5,2.5,1756,8727,1961,2025-12-12,2025-12-11,6.22,1795803,1022,0,37.706737,-122.309686,2,1,0,1,2025,12,4,63,0,0.4166666666666667,292.6666666666667,3,0,1,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031835,Alameda,Oakland,94601,Condo,1,2.0,1068,0,2012,2023-09-04,2023-08-31,7.18,653045,611,471,37.733911,-122.184862,1,0,0,1,2023,9,3,12,0,1.0,534.0,1,1,0,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031836,Alameda,Oakland,94601,Single Family,4,2.0,2764,8052,1993,2024-12-26,2024-12-26,6.85,1983938,717,0,37.856528,-122.289652,2,0,0,3,2024,12,4,31,0,0.4,552.8,2,0,1,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031837,Alameda,Oakland,94601,Townhouse,4,2.0,1073,1314,1961,2022-08-23,2022-08-18,5.13,707338,659,203,37.774163,-122.237612,2,0,1,1,2022,8,3,63,0,0.4,214.6,3,1,0,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031838,Alameda,Oakland,94601,Townhouse,2,2.0,1912,1038,2012,2023-10-05,2023-10-05,7.49,1087701,568,326,37.827695,-122.382781,3,0,0,1,2023,10,4,12,0,0.6666666666666666,637.3333333333334,3,1,0,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
AL0031839,Alameda,Oakland,94601,Condo,3,2.0,2031,0,2001,2025-02-22,2025-02-20,6.85,1081967,532,570,37.927234,-122.186336,2,0,0,1,2025,2,1,23,0,0.5,507.75,2,1,0,1361957.100286533,1425983.5787965616,135,7.3,382.0,1300.0,67.0,59.0,75.0,57.0,65.0,66.0
